value,count
عملکرد,4
دوستمون,4
تنظیمه,4
مرد,4
راحتتره,4
شیائومی,4
چهار,4
ضعیفیه,4
HTC10,4
مایکروتل,4
جدا,4
سریعتر,4
راهنما,4
بشنوید,4
نیا,4
p,4
اروپا,4
خخخخ,4
میخورم,4
هارد,4
DDR4,4
جعبه,4
میخونه,4
دردسر,4
استایل,4
تاخیر,4
مشهوده,4
دلنشینه,4
نظیریه,4
میماند,4
بکشین,4
زوم,4
پشیمانم,4
موسیقی,4
آدم,4
گیرند,4
سطحه,4
دادیم,4
گرفتید,4
اندروید7,4
s,4
نواز,4
بفرستید,4
کلید,4
تردید,4
sony,4
مدلش,4
ادج,4
بهترشه,4
فنی,4
دستگاهه,4
بریزم,4
اندروید4,4
میبینی,4
مشترکه,4
ارزونتر,4
آمپری,4
ناموجود,4
مطلوبه,4
انصافیه,4
قدرتمندیه,4
زیباتره,4
دلایل,4
پول,4
خوبع,4
آبی,4
درصورتی,4
میارین,4
گردید,4
نمیزد,4
عاااااااالیه,4
بنداز,4
اپتیکال,4
سر,4
میگفتن,4
عالیع,4
اینترنتی,4
میگذره,4
نزنین,4
متشکر,4
بیشترن,4
مجدد,4
جیه,4
نگذاشته,4
تاحالا,4
مزیته,4
بپردازم,4
میداشتم,4
مینویسه,4
میپره,4
عااالی,4
تست,4
ووو,4
حدی,4
گوشیرو,4
میبرد,4
نمایم,4
نمیخورین,4
قشنگ,4
g8,4
میطلبه,4
آخرشه,4
برندی,4
دهنده,4
اشتباهن,4
طوره,4
دهم,4
میشع,4
قوتشه,4
ترینه,4
واستون,4
g3,4
مشکیش,4
برعکس,4
ابدا,4
میخواید,4
100,4
نگهدار,4
رزولوشن,4
عاله,4
فوقالعادست,4
بذاریم,4
کوچک,4
جزیی,4
جدیده,4
عزیزی,4
f1,4
ببینند,4
نموده,4
اورجینال,4
بمانید,4
برداریش,4
95,4
ips,3
بیافته,3
نمیارید,3
f2,3
پیکسله,3
شکیله,3
G4,3
a,3
بخواهید,3
ذاره,3
کشور,3
بازیه,3
شرایطی,3
چک,3
PLUS,3
2G,3
همچنان,3
دسکتاپ,3
هنگه,3
کیه,3
اوردن,3
بیارش,3
ماته,3
بالاخره,3
دل,3
تبلیغاتیه,3
400,3
نمیگرفتم,3
ئه,3
میخرنش,3
خوبین,3
فوری,3
زنند,3
720p,3
خواهش,3
واقعیش,3
بدونن,3
نیاین,3
زیادن,3
میخواهند,3
قدرتش,3
نمیخرن,3
رقباست,3
میدرخشه,3
عجب,3
حرف,3
ایسوز,3
خخخخخ,3
خدااااا,3
بخرنش,3
گرد,3
انهاست,3
بگذارد,3
لامصب,3
میچربه,3
پایینش,3
مجزا,3
بینی,3
بفهمه,3
معنی,3
خری,3
پاسختون,3
انداز,3
رقابته,3
اعتماده,3
او,3
نظامی,3
k,3
سرعتش,3
سیمکارته,3
موارد,3
بندازم,3
‌‌,3
گاهی,3
شرکتیه,3
متنفرم,3
خداس,3
واقعاً,3
نمیمونید,3
پیشنهاد,3
میگما,3
تصور,3
میانرده,3
دودلم,3
دراومد,3
الکترونیکی,3
مک,3
نیارم,3
بزاریم,3
بزگیه,3
رام,3
مورده,3
برسید,3
معایبش,3
Samsung,3
بگی,3
نیوفته,3
بدونیم,3
انتخابش,3
لایته,3
بمونم,3
گزینه,3
دهیم,3
بروید,3
شهر,3
زدید,3
بیارتش,3
میکرو,3
مفید,3
کوچیکتره,3
میسازن,3
اومدنش,3
هیچه,3
راهه,3
کنارش,3
عقبه,3
samsung,3
جزئی,3
باکیفیته,3
گیرم,3
نمیشوید,3
com,3
میدانم,3
بیایید,3
فرده,3
عالیههه,3
کارامد,3
پریده,3
زیباییش,3
نمیکنیم,3
a9,3
وایرلس,3
بمونید,3
مره,3
ابه,3
همون,3
عکسبرداری,3
میبری,3
میکردیم,3
میرسن,3
بترکونه,3
ظریف,3
مهر,3
انداختن,3
نمیدهد,3
نترسید,3
128GB,3
دراگون,3
درنمیاد,3
منده,3
دوتایی,3
میدند,3
اندرویید,3
خارجه,3
moto,3
اونا,3
می‌آورد,3
افزاره,3
استثناییه,3
بالای,3
فروشنده,3
نصیحت,3
افتد,3
بیابید,3
wanted,3
استخر,3
کارآمده,3
جدیدتر,3
2014,3
41,3
86,3
کافیست,3
AMOLED,3
عاالیه,3
بخشیده,3
داشتمش,3
تشکرمیکنم,3
هواووی,3
شاهکار,3
هوواوی,3
داشتیم,3
نمیزنم,3
بحال,3
vegas,3
عالیهههه,3
استفادس,3
صبح,3
نظریه,3
کوتاه,3
کلاسیک,3
خوشدستیه,3
خوبیست,3
نذاشتم,3
XZ,3
عااااالی,3
میزنید,3
405,3
مگابایته,3
پسند,3
ONE,3
نیافته,3
الرحیم,3
استایلوس,3
روزیه,3
P9,3
نرسید,3
پایان,3
مگا,3
میلیمتر,3
میگذارم,3
انتن,3
لاکچریه,3
شستمش,3
مچکرم,3
بعدش,3
باگ,3
نمیارن,3
بگذرید,3
توپیه,3
Z2,3
قلمش,3
رایگان,3
خوددانید,3
رنگه,3
تلویزیون,3
نگفتم,3
کاریه,3
پردازشگر,3
طولانیه,3
رود,3
خورید,3
بالایی,3
htc10,3
برعکسه,3
باحالیه,3
ایست,3
روزانه,3
L01,3
میگردم,3
یکبار,3
دومش,3
درآوردم,3
مانند,3
نیم,3
نمیچسبه,3
جوابه,3
s8,3
گیرن,3
میترسم,3
تخفیف,3
می‌کرد,3
پوشونه,3
برخوردم,3
نباشی,3
نبودیم,3
بهینه,3
شدت,3
میگذاره,3
کنده,3
اگه,3
نگاهتون,3
یعنی,3
طولانی,3
فایده,3
IPS,3
فرض,3
برداشتم,3
اندازد,3
محکم,3
prime,3
نمیدین,3
گرافیکه,3
خلاقیت,3
میگفتم,3
مهشره,3
کاشتی,3
نذار,3
سنس,3
نرمه,3
تهران,3
مسخرش,3
نیاز,3
سبکتره,3
میگید,3
ایشون,3
سلفیه,3
فناوری,3
ایا,3
همتا,3
اپ,3
تنها,3
نزدیک,3
مشکله,3
وایسه,3
میگردد,3
نکسوسه,3
اوره,3
پرو,3
فروخت,3
معروف,3
فوکوس,3
بنویسن,3
واویلا,3
کتید,3
نمیگذاره,3
روتوش,3
کنونه,3
وعالی,3
نگیرن,3
قبلش,3
طوریه,3
swipe,3
حذف,3
هرگز,3
خووبه,3
خودشو,3
العادش,3
جی4,3
کرد‌,3
نمونده,3
نیارید,3
وخوب,3
نوت4,3
راسته,3
اینجورین,3
لیزری,3
Sony,3
شون,3
نمیرسد,3
بگیرینش,3
بازه,3
عاملش,3
اضافیه,3
بگذرم,3
صداست,3
ارتقاست,3
بهبود,3
بخورین,3
رسانی,3
عالییییییی,3
نیست‌,3
بودید,3
نمونیم,3
ضروری,3
گذاره,3
بفهمی,3
xl,3
قبلیه,3
کاربریشه,3
ر,3
گوشیست,3
نمیکشه,3
دستتونه,3
نکشید,3
عجیبیه,3
میکشد,3
نشدنیه,3
جانبیشه,3
اینطورین,3
ناصری,3
وجود,3
مخصوصا,3
بشنوی,3
آل,3
میذارید,3
سون,3
عنوان,3
میشدن,3
برگردوند,3
5اس,3
مثبتاتون,3
بیخیال,3
عامله,3
CPU,3
پرچمداری,3
نمیبرید,3
بهت,3
سالمه,3
راجبش,3
دیگشه,3
میشناسن,3
بست,3
بریزین,3
جعبش,3
نذاشتن,3
کیفیتن,3
داستان,3
نگیریم,3
سلیقه,3
دونه,3
طرفدار,3
نامعتبر,3
نمیبینیم,3
خارج,3
نوشتید,3
مرددم,3
گوشیهاست,3
کسایی,3
روونیه,3
امنیته,3
نگفتن,3
زنده,3
کانفیگ,3
نمیپوشونه,3
ببین,3
علیه,3
خاصی,3
میادش,3
الجیه,3
آوری,3
گرفتین,3
دیوار,3
برتر,3
خدافظ,3
»,3
بردارن,3
سبکی,3
راحتیه,3
برسن,3
عالییییه,3
مزخرفه,3
نمایند,3
gtav,3
نخریدمش,3
شاخه,3
هیولاست,3
اشتباهیه,3
دیجیتال,3
37,3
موبایلش,3
نامعقوله,3
اشتباهی,3
صادقه,3
بیافتد,3
ترابایت,3
میگیرین,3
lg,3
کارا,3
نگذرید,3
جیبتون,3
اینچه,3
سفته,3
nfc,3
تکمیله,3
جذابیه,3
بکشی,3
ببریم,3
رفقا,3
شدش,3
فکر,3
ال,3
برسونید,3
SE,3
نگیری,3
گفتید,3
دیدید,3
میخونم,3
غلطه,3
چسبه,3
display,3
نمیزنن,3
22,3
میگین,3
وحشتناک,3
تمومیه,3
راحتم,3
متر,3
ببندم,3
جداست,3
نباشم,3
کپی,3
نکنیدش,3
روون,3
بسازم,3
می‌رود,3
لحظه,3
ستایشه,3
4K,3
مشکلش,3
تصویری,3
کردمش,3
شخصیمه,3
نیستیم,3
برسیم,3
خالص,3
میکردین,3
پد,3
بکوبه,3
ضعفشه,3
80,3
خودشون,3
برندهاست,3
سوخته,3
میشنویم,3
نکردنی,3
رادیو,3
بخشد,3
میزنند,3
قوه,3
موفقیت,3
آفتاب,3
نسبتا,3
لپتاپه,3
z3,3
لطفااااا,3
اقایون,3
خدمات,3
منو,3
انگشتش,3
جور,3
خوند,3
میدیدیم,3
جوری,3
شکسته,3
امروزه,3
بفهمید,3
عالیییییه,3
ایراده,3
گفتند,3
افرادی,3
i5,3
مسخرس,3
ناب,3
عالیییییییی,3
امساله,3
نذارید,3
لبتاب,3
انگلیسیه,3
خریدند,3
Phone,3
دیروز,3
مجموع,3
توفیق,3
طبیعت,3
اد,3
نبینه,3
امکاناتی,3
میزنمش,3
بریزید,3
شیکتره,3
میاریم,3
store,3
احترامه,3
بگذاریم,3
2k,3
عالییییییییی,3
شدنه,3
اسونه,3
فروشی,3
رساند,3
بیان,3
معرفی,3
مدلی,3
ببیند,3
گیمینگ,3
19,3
برق,3
شدس,3
ژیروسکوپ,3
مسعودی,3
زدی,3
روونیش,3
عید,3
یکنواختی,3
نماییم,2
مدادی,2
موندین,2
میبریم,2
حده,2
می‌رسد,2
نمونم,2
تفکر,2
نمیریزید,2
طلائیه,2
کارتش,2
صورتیه,2
تیغ,2
اونو,2
میدادند,2
میماله,2
بنچمارکه,2
پرچمدارا,2
بودی,2
فردش,2
شده‌,2
ند,2
گیمرها,2
NVIDIA,2
تک,2
PhoneArena,2
2700,2
بیفتن,2
vga,2
اونوقت,2
960m,2
بهتریناست,2
میخوندم,2
می‌رسید,2
نسیت,2
راستی,2
Premium,2
باسونی,2
نقاطی,2
نمیندازه,2
قدرتمندشه,2
گوشه,2
محبوبه,2
میکرده,2
بزنند,2
intel,2
ندیدید,2
معناس,2
نگهمیداره,2
خریدشم,2
بخونی,2
سخت,2
بیاریش,2
میشناسه,2
باشنش,2
بگیرنش,2
دانم,2
ایرادی,2
پرت,2
اینجوری,2
افزون,2
میزارید,2
روت,2
میبینین,2
گرفتند,2
خرابی,2
نمیبندم,2
ننداختم,2
جوراییه,2
بشنون,2
ترند,2
Plus,2
اطلاع,2
میرفتم,2
دنبال,2
نشی,2
5500,2
مناسبتر,2
نکسوسم,2
آزاد,2
خشه,2
حرفه,2
Apple,2
شرقی,2
دوستانم,2
بودجه,2
آوردی,2
بیسیم,2
واید,2
سادست,2
خاطر,2
Note5,2
آنهاست,2
ارزونه,2
جذابیت,2
وقویترشده,2
ناپذیر,2
نمیدونین,2
لقه,2
گردم,2
بخورم,2
زاره,2
پیوست,2
نگین,2
تونه,2
اندروئیده,2
درگیرم,2
همتاست,2
اینستاگرام,2
اییه,2
دیدی,2
تبلیغ,2
امید,2
3GHz,2
8GHz,2
نمیدازه,2
روزا,2
دربین,2
بی‌نظیره,2
دوما,2
s7هست,2
بارز,2
ننوشتم,2
جوابگوست,2
محافظ,2
نبیند,2
شکله,2
راموجودکنید,2
آشغاله,2
رقیباش,2
باشدی,2
نیاوردم,2
عدده,2
8GB,2
حاظر,2
اینهاست,2
سروره,2
شاهکاریه,2
فلاش,2
ریست,2
msi,2
الکترونیکیه,2
ذره,2
edgeهست,2
تومنه,2
816,2
براق,2
برمیومد,2
تعمیرات,2
مزایاش,2
میلیونیه,2
محصوله,2
3پرو,2
نگرفتی,2
میخونن,2
نکشه,2
e7,2
ببنده,2
داغی,2
جو,2
نزار,2
نروند,2
خودتی,2
روشنایی,2
نداش,2
حاجی,2
میترکه,2
واقعیت,2
تحملش,2
سطح,2
connection,2
K8,2
خوندش,2
بهتربود,2
توی,2
دوش,2
0داره,2
اثر,2
باخته,2
فردیه,2
عایه,2
ضروریه,2
عاااااااااالی,2
نمیشنوم,2
سلامتی,2
ازنظرمن,2
سفیدشو,2
باطریه,2
بااین,2
کرمی,2
دلایلی,2
مامانم,2
2800,2
هوشمنده,2
روموجودکنین,2
زشت,2
بدجور,2
J7,2
خاک,2
a7,2
مریزاد,2
بندی：,2
نریختم,2
مشگل,2
راهنماییتون,2
حافظ,2
توروخدا,2
بازیها,2
n552vw,2
اعلانات,2
می‌دهد,2
مصرفه,2
بریزند,2
more,2
یهو,2
مخصوص,2
America,2
13داره,2
1020,2
پردازندشونو,2
حامدی,2
اسپندراگونه,2
یافتس,2
نانو,2
آک,2
نمیخونه,2
واجبه,2
کیفیتی,2
اوردى,2
مردیه,2
بخریش,2
پذیرفت,2
طرفانه,2
نگفتی,2
میخوانش,2
نظرش,2
متفاوتند,2
MP,2
مگاپیکسلیه,2
حوبه,2
وغیره,2
آسه,2
انشگت,2
اس5,2
Power,2
شارژرش,2
ویزه,2
رنگشو,2
بفهمم,2
دیکس,2
خاکستریش,2
نسبیه,2
huawei,2
134600,2
GPU,2
لوکسه,2
درضمن,2
عنبیه,2
sa,2
فایو,2
پنج,2
سایتتون,2
gr3,2
کاملش,2
رنگن,2
برسین,2
می‌خوری,2
93,2
بخصوصRamش,2
نخرینش,2
جلوش1,2
کارکردن,2
لنز,2
گرده,2
ابی,2
بلده,2
گیگاهرتز,2
settings,2
رسوندن,2
آنر,2
آنلایک,2
حاله,2
اینده,2
B,2
1100,2
میزننش,2
میلیونه,2
حساس,2
درجه,2
کارخانه,2
میتونم,2
مدلاش,2
ترکیه,2
هارو,2
برندست,2
ناراضی,2
htc10=100,2
موس,2
طلا,2
نخره,2
برمیداره,2
عایا,2
یوزر,2
نویسی,2
قیافه,2
بخورد,2
شیکیه,2
نبودنه,2
ایفون6,2
G3,2
گولد,2
هاتون,2
ایفون7,2
خالی,2
بهترشد,2
امکان,2
تریه,2
گنگه,2
صوت,2
حجم,2
2جی,2
ردیف,2
زحمت,2
دارم‌,2
بخشید,2
زیادی,2
بکوبن,2
اسپیکره,2
سایته,2
htc10=95,2
الادس,2
محدودیت,2
تخصصی,2
عاالی,2
متعصبانه,2
ارادتمند,2
میسوخت,2
تلویزیونه,2
نوت7,2
شویم,2
ماتش,2
ویدیو4k,2
رضایی,2
دربیاد,2
12مگاپیکسلی,2
بیشترین,2
ز,2
سایه,2
داستانه,2
مینویسن,2
نمیارین,2
نخوردیم,2
گری,2
hq,2
شرکتا,2
پرچمدارها,2
نمیگین,2
ابد,2
نظیرش,2
رنگشه,2
زیباترین,2
ضغیفه,2
بگردی,2
Sim,2
مشخص,2
حدیه,2
خدمتتون,2
قبلیا,2
نبره,2
پابرجاست,2
وقتتون,2
میگذاشتن,2
تکنولوژیه,2
بودا,2
محکمیه,2
دادی,2
زیباییشه,2
وااای,2
نقدتون,2
نقسه,2
یابد,2
دستگاست,2
150,2
ضدآب,2
میخوریم,2
نداشتی,2
TIME,2
نمیدونستم,2
سالاری,2
بدبختی,2
گیگابایته,2
1080,2
لرزشگیره,2
اخیر,2
لوکس,2
وسریع,2
S,2
بپذیریم,2
اوورد,2
LTE,2
مچکریم,2
افراد,2
مدرن,2
رابط,2
ووووو,2
عاااااالیه,2
عالیههههه,2
ایم,2
درگیره,2
کارخونس,2
سازی,2
عکسها,2
ساختش,2
جامعه,2
جایی,2
سوم,2
فرم,2
حتمابخرید,2
950,2
عکسه,2
25,2
مسی,2
v2,2
G,2
درصده,2
رسیدن,2
یکپارچه,2
دوسیمکارت,2
بلایکه,2
رقیبن,2
تاره,2
اولیه,2
الله,2
بلرزه,2
مخالفم,2
احتمالی,2
مشهوره,2
حداکثر,2
رطوبت,2
نگیرین,2
نمیگذارد,2
کلاااا,2
نباش,2
درست,2
87,2
بپردازن,2
a3,2
نبست,2
العادهه,2
میکشند,2
جوب,2
خواهدبود,2
قابلیتها,2
pixel,2
متره,2
تلکام,2
GB,2
مارشملو,2
گزاشتن,2
آورید,2
چیزها,2
A3,2
میپرسه,2
combat,2
پلی,2
نانومتریه,2
میخان,2
پسندن,2
‌‌‌,2
پوشاند,2
یکساله,2
limit,2
حمله,2
وان,2
‌‌‌‌,2
بزرگو,2
العادهست,2
میگرفتمش,2
بچسبه,2
نیاید,2
میکردند,2
مسایل,2
باد,2
معذرت,2
نمیشیم,2
تایوانی,2
بکشیم,2
c7,2
میرسی,2
بشینه,2
گلکسی,2
ذوقتون,2
جلوتر,2
مفصله,2
گزارم,2
برنمیداره,2
امدیه,2
الادست,2
میبخشد,2
بودمش,2
نزاشتی,2
دوسشدارم,2
انقدر,2
بسه,2
بفرد,2
صورت,2
بیادش,2
نمیخرمش,2
کاربردیست,2
بدبد,2
m,2
لایت,2
ios10,2
S4,2
arena,2
مصنوعیه,2
glass,2
نشکنه,2
میفهمم,2
کوالکام,2
معقوله,2
اطمینانه,2
پرستیژ,2
رمضان,2
توربو,2
جدیدتره,2
همش,2
تبلیغاته,2
زاست,2
gb,2
مزیت,2
عالیند,2
نکردی,2
نایابه,2
حالت,2
یجورایی,2
پیدامیشه,2
پشتیبانی,2
رمز,2
جایگذاری,2
50,2
هونور,2
دوستم,2
می‌خرم,2
لبتاپ,2
فک,2
اتاق,2
تقلیدی,2
جوابتون,2
کاشت,2
میدیدید,2
DIGIKALA,2
مناسبی,2
تاسیس,2
شغلم,2
پرسرعته,2
mate,2
پیشنهاده,2
اشغال,2
نازک,2
عقبی,2
زنم,2
منوهاش,2
خربدم,2
دانشجویی,2
میگرم,2
سفارشم,2
دریا,2
اسه,2
قیمتن,2
نواوری,2
dslr,2
امسال,2
زدنی,2
حریف,2
سبکتر,2
نزاره,2
پلمپ,2
جک3,2
خداست,2
unlock,2
عالبه,2
دوستت,2
گیگابایتی,2
Z,2
جک,2
کشوری,2
SAMSUNG,2
گرفتش,2
منصوری,2
پونصد,2
وی20,2
دستشه,2
لکی,2
امن,2
2g,2
مکانی,2
82,2
نمیبینی,2
گرام,2
نگردید,2
سیستمی,2
گوشیی,2
آسمونه,2
بخور,2
آیفون7,2
خودمم,2
داشتین,2
LIKE,2
برسونن,2
عامه,2
انسان,2
j,2
سواله,2
اینترنتش,2
1070,2
خوووبه,2
سریعش,2
پرداخت,2
تومنی,2
بچرخونیم,2
خانوادم,2
میشناسم,2
متمایزه,2
برداشته,2
سهامدارش,2
متشکریم,2
میفهمین,2
1بود,2
موافقید,2
هیبریدی,2
منیجر,2
کوچکتره,2
y6,2
نشناخت,2
سیور,2
برسونم,2
کردم‌,2
قبلیش,2
فرستادم,2
Z3,2
charge,2
شارژبشه,2
صرفس,2
میافتد,2
گو,2
اونجا,2
شفافه,2
نیمده,2
ازت,2
شارپ,2
انتخابتون,2
همینطورن,2
براقش,2
ننویسید,2
مشتریاشه,2
انشاا,2
خواستم,2
ایرادات,2
صداس,2
میباشه,2
نندازید,2
آلیه,2
بپرسین,2
زاویه,2
Graphics,2
دونستم,2
ناچیز,2
ننمودم,2
هااااا,2
مشکیشو,2
در0,2
ابعاد,2
یاشین,2
میخواهم,2
نیومدم,2
مناسبش,2
اشه,2
مدیا,2
بزند,2
TOUCH,2
آنتن,2
سالم,2
هرچند,2
هادیان,2
مشتریان,2
سیمه,2
2016هست,2
امیری,2
اپلم,2
ultraدارم,2
فروختن,2
گوشیاشون,2
خوشاینده,2
TSMC,2
انشاالله,2
آره,2
قدیم,2
فیلمبرداریش,2
حل,2
گذاشتینش,2
بشوند,2
L21,2
نبودند,2
مطلوبیه,2
512,2
g6,2
SIM,2
انگیزش,2
بیصدا,2
انشالله,2
چراغ,2
لدفا,2
5c,2
نسخه,2
بزرگواران,2
نمیشنوید,2
بیاریدش,2
K10,2
sd,2
شاهکارن,2
focus,2
خورشید,2
کام,2
تاریخه,2
تش,2
منزل,2
arkamys,2
داغه,2
بهتریناس,2
نخوردید,2
hdr,2
قهوای,2
بجنب,2
سختیه,2
نمیاری,2
تلخه,2
مفیدی,2
اعتدال,2
ندیدی,2
نمودید,2
خدااا,2
عااااااالی,2
ایرانسل,2
میش,2
نمیگیرد,2
نگردین,2
لیزه,2
بیارتون,2
عجبم,2
ای1,2
پاینش,2
احمقانست,2
ابرومنده,2
برتریه,2
چقده,2
خریدخوب,2
نمیرسید,2
سیاه,2
میبخشه,2
ze550kl,2
1520,2
MHL,2
دروود,2
المپیک,2
اونورش,2
جمعه,2
ایمیل,2
قطع,2
بدون,2
نمیفهمی,2
s5,2
نشنیدم,2
واسشون,2
تحمله,2
بوقه,2
ردست,2
میکشتت,2
التوفیق,2
میگذارند,2
آسانتر,2
برای,2
آیکون,2
ندازه,2
بردند,2
21,2
عکسارو,2
ارتباطی,2
جست,2
پولیه,2
قبیل,2
کرمانشاه,2
زیباشه,2
نرسیدن,2
touch,2
Pro,2
سبکیش,2
حسگر,2
اهمیته,2
وصله,2
99,2
30,2
فایدس,2
کارکنی,2
بالاییه,2
کوووو,2
عریض,2
شکی,2
دوربیناش,2
اعلانه,2
اسنپدراگون,2
هیولا,2
k10,2
دسترس,2
ینه,2
کارکرد,2
کردنند,2
اصفهان,2
عربیه,2
صبرتون,2
کاربریه,2
بلوتوث,2
یدک,2
ویبره,2
بامزه,2
ram,2
سنجید,2
چقدر,2
ROM,2
دراپ,2
اوردی,2
زحماتتون,2
art,2
smile,2
بالاااااااا,2
دستش,2
دوست,2
ید,2
دانی,2
میفرسته,2
بخوریم,2
سپاسگذارم,2
shoot,2
نمیتونن,2
نگذاشتم,2
دیجیکالایی,2
مشاهده,2
بدند,2
کنییید,2
asus,2
میزدن,2
بخوانید,2
عه,2
میرسوند,2
لطفتون,2
پارسال,2
TFT,2
برندش,2
کارتن,2
فارسیه,2
استاندارد,2
عظیمی,2
LCD,2
نوآوری,2
نمیخرید,2
وضوح,2
باشمش,2
قیمتیه,2
عاشقتم,2
MHz,2
و2,2
هماهنگ,2
بذاریدش,2
410,2
v4,2
استثنائیه,2
منم,2
وزنش,2
6700HQ,2
ضعفاشه,2
L11,2
بنویس,2
سایزه,2
پلیر,2
فرمائید,2
امتیازات,2
ببینمش,2
هلو,2
وبهتره,2
فور,2
صدایی,2
ترشدن,2
2017هستش,2
نمی‌کنند,2
بکن,2
نمیبینیش,2
اسفالت,2
میدهید,2
خودته,2
واقعیته,2
فرستاده,2
مشخصاتشو,2
توپ,2
میت8,2
Commander,2
منتظریمااااا,2
اندازیه,2
صفحه5,2
گذارد,2
نشوید,2
میخندن,2
ناقصه,2
دارد‌,2
810,2
کامپکت,2
معمول,2
compact,2
تعجبه,2
motion,2
گشت,2
نسبتی,2
نمیگی,2
اشتباهید,2
فراوون,2
بازا,2
نمیزدیم,2
نبردم,2
پرید,2
مگاهرتزه,2
4gهستش,2
نقض,2
میفتاد,2
نکیند,2
دانند,2
سونیم,2
آورند,2
آپشنش,2
نام,2
پردازشی,2
گرما,2
خواهشن,2
fps,2
پردازندش,2
نمیزارین,2
بفرمایند,2
b,2
نچرخه,2
شرطی,2
ریزی,2
call,2
اتاقه,2
هدست,2
دیگریست,2
بابام,2
GPS,2
میکردید,2
یکسان,2
مناطق,2
برود,2
سریر,2
leon,2
2450,2
رم2,2
بودخریدم,2
دیجیتالی,2
بردن,2
برنخوردم,2
ناکارآمد,2
نکینید,2
طراحیشه,2
محدوده,2
میگذارد,2
مرسیییی,2
هدیه,2
Selfie,2
مداری,2
باخودتونه,2
محشریه,2
درسه,2
مداره,2
phonearena,2
هستش…,2
500,2
بگردید,2
فرمودند,2
پیام,2
واو,2
پیداست,2
2013,2
بم,2
میشناسین,2
صرفه‌ست,2
جهات,2
نوکیاست,2
لذت,2
اینجوره,2
استندبای,2
حدودی,2
پشیمونه,2
مناسبتره,2
پرمیوم,2
میدام,2
گرفتنش,2
شی,2
ق,2
وقت,2
هدایا,2
محرومند,2
تنظیم,2
23,2
فورجیه,2
ظیره,2
چیزیه,2
بیامرزه,2
نازنین,2
برو,2
کسانیست,2
دلم,2
کِرَش,2
جنسن,2
میترکوند,2
هیت,2
میافت,2
806,2
تونن,2
گزاشتنتون,2
نژاد,2
سازگار,2
مفیدتون,2
حقیقته,2
بهرمنده,2
داخل,2
عالى,2
تحویل,2
تجربه,2
کشیده,2
نندازن,2
طرفید,2
سبکیه,2
اَس,2
بسازید,2
بلند,2
زیا,2
خوندی,2
پشیمون,2
آندرویدی,2
checkcoverage,2
مایلید,2
نزنن,2
سیمش,2
قدرته,2
نکین,2
بدونه,2
نمی‌کنم,2
ساسونگ,2
خواست,2
کمپانی,2
سراغش,2
نداشتید,2
فرمایند,2
نوشتین,2
اوردش,2
اگزینوس,2
آرنا,2
بریزیم,2
نامید,2
برسانم,2
قیمتاش,2
فسیل,2
فراوونه,2
ارزش,2
چیپ,2
افزاریشه,2
دزدیدن,2
گزاشتین,2
دیت,2
باشماست,2
خیلیییی,2
خودمون,2
انجام,2
دوام,2
گرمه,2
220,2
اتومات,2
فبلت,2
نمیدی,2
راضی‌ام,2
وبدداره,2
رم3,2
بنز,2
کجایی,2
هستندو,2
pay,2
ندهند,2
کلاسی,2
طرفی,2
برخوردارند,2
چیزایی,2
apple,2
P8,2
میگرد,2
جا,2
داغون,2
گوشى,2
کنترل,2
بخندم,2
max,2
88,2
تعطیل,2
6S,2
ممنونیم,2
جاست,2
مدرنه,2
کدومش,2
گذارند,2
هنزفری,2
KEYONE,2
5‌,2
دارنش,2
براقه,2
موجودکن,2
بعله,2
بازبمونه,2
pdf,2
ضعیفش,2
دهیش,2
نمونه,2
57,2
خوشدست,2
تلفن,2
دیوایس,2
مجانی,2
گارده,2
طراحیه,2
اره,2
ضعفی,2
صورته,2
نیستین,2
روی,2
n,2
حرکت,2
gps,2
محدودیتی,2
یون,2
نمی‌کنید,2
نظرموو,2
اعتماد,2
نگذریم,2
کلمه,2
رویال,2
رقابتیشونه,2
156091,2
کشی,2
بمونن,2
اولشه,2
پی,2
واسه,2
نخور,2
نمیخوام,2
P,2
میسپارم,2
ردیفه,2
دادند,2
تایپ,2
سامسنگ,2
خوبتره,2
آسان,2
نمایششه,2
کارگران,2
آسونه,2
هردو,2
ندادین,2
برمیدارم,2
نزاشتن,2
ایفونو,2
G8,2
یاشه,2
نوری,2
ذوق,2
باکیفیتیه,2
لااااایک,2
شده3600,2
تغییربدین,2
نمیشوند,2
انواع,2
نمیخوایی,2
5اینچی,2
بهشون,2
وکیلی,2
رفتیم,2
ظرافت,2
بیرونه,2
نظرمو,2
می‌شوند,2
اندازید,2
لیز,2
کرده‌اند,2
زندگی,2
مسافرت,2
رنگی,2
طرف,2
مضخرفیه,2
میشدید,2
نامردیه,2
میگیم,2
هدایاش,2
p8lite,2
کله,2
لمسش,2
ارزشه,2
مستحکم,2
نظرات,2
هست‌,2
بیگدلی,2
می‌دم,2
منفیه,2
ردس,2
خردیدم,2
اسفالت8,2
خروجیش,2
اپلی,2
کاربران,2
otgنداره,2
y5070,2
جمله,2
افزاریش,2
بگذرونید,2
3646633,2
غریبه,2
بیای,2
play,2
نهایت,2
بخرندش,2
داست,2
دوامه,2
دوتا,2
خودتون‌,2
میزو,2
همشونه,2
ندیدین,2
تفاوت,2
نذارن,2
بشنویم,2
طرحش,2
لینک,2
لالیگا,2
رقابتیه,2
نسخه2,2
میگردی,2
نموند,2
اینان,2
نترز,2
عاملی,2
حالیه,2
